[START] seeds=[0, 1, 2, 3, 4] max_workers=5 device=cpu csv='korns_complexeql_benchmark_results.csv' hdf5='korns_dataset_train_extrap.hdf5'
[WORKER START] seed=0 device=cpu
[WORKER START] seed=1 device=cpu
[WORKER START] seed=3 device=cpu
[WORKER START] seed=4 device=cpu
[WORKER START] seed=2 device=cpu
[WORKER] seed=0 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=0 PID_START P1
[WORKER] seed=1 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=1 PID_START P1
Random seed set as 1791095845
Random seed set as 1319712737
[WORKER] seed=4 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=3 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=4 PID_START P1
[WORKER] seed=3 PID_START P1
Random seed set as 1867650593
Random seed set as 306679169
[WORKER] seed=2 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=2 PID_START P1
Random seed set as 1211952741
[PHASE1 | Epoch 22000] lr=1.00e-03, total=8.6590e-06, data=8.6335e-06, sparsity_reg=1.7782e-08, imag_w=7.7538e-09, active_edges=510
[PHASE1 | Epoch 22000] lr=1.00e-03, total=3.7763e-06, data=3.7507e-06, sparsity_reg=1.8471e-08, imag_w=7.1800e-09, active_edges=510
[PHASE1 | Epoch 23000] lr=1.00e-03, total=1.0267e-04, data=1.0264e-04, sparsity_reg=1.5641e-08, imag_w=6.9656e-09, active_edges=510
[PHASE1 | Epoch 23000] lr=1.00e-03, total=1.7402e-06, data=1.7162e-06, sparsity_reg=1.7273e-08, imag_w=6.7296e-09, active_edges=510
[PHASE1 | Epoch 23000] lr=1.00e-03, total=1.9942e-06, data=1.9743e-06, sparsity_reg=1.4911e-08, imag_w=4.9534e-09, active_edges=510
[PHASE1 | Epoch 23000] lr=1.00e-03, total=2.0909e-04, data=2.0907e-04, sparsity_reg=1.8048e-08, imag_w=8.0842e-09, active_edges=510
[PHASE1 | Epoch 23000] lr=1.00e-03, total=6.9945e-05, data=6.9919e-05, sparsity_reg=1.8627e-08, imag_w=7.3804e-09, active_edges=510
[PHASE1 | Epoch 24000] lr=1.00e-03, total=5.2817e-06, data=5.2585e-06, sparsity_reg=1.5862e-08, imag_w=7.3187e-09, active_edges=510
[PHASE1 | Epoch 24000] lr=1.00e-03, total=2.5761e-06, data=2.5517e-06, sparsity_reg=1.7305e-08, imag_w=7.0292e-09, active_edges=510
[PHASE1 | Epoch 24000] lr=1.00e-03, total=2.2091e-05, data=2.2071e-05, sparsity_reg=1.4981e-08, imag_w=5.0556e-09, active_edges=510
[PHASE1 | Epoch 24000] lr=1.00e-03, total=7.2417e-05, data=7.2391e-05, sparsity_reg=1.8380e-08, imag_w=8.5480e-09, active_edges=510
